,dish,Estimated_GI
1744,"Cabbage, tomato and shredded pork",0.0
1745,Vegetable,50.0
1746,Coarse grain,40.0
1747,Diced lotus root and pork meatball,0.0
1748,"Wax gourd, carrot and shredded pork",20.0
1749,Hangzhou cabbage,50.0
1750,Coarse grain,40.0
1751,Egg,30.0
1752,Coarse grain,40.0
1753,Boiled vegetable,50.0
1754,Shrimp and vegetable,50.0
1755,Minced pork and eggplant,15.0
1756,Vegetable,50.0
1757,Coarse grain,40.0
1758,Steamed yam and pork meatball,0.0
1759,Stir-fired Bottle gourd and shredded pork,0.0
1760,Hangzhou cabbage,50.0
1761,Coarse grain,40.0
1762,Egg,30.0
1763,Coarse grain,40.0
1764,Boiled vegetable,50.0
1765,"
Steamed pomfret",50.0
1766,"Tomato, cabbage and shredded pork",0.0
1767,Lettuce,50.0
1768,Coarse grain,40.0
1769,Braised pork meatball,0.0
1770,"Cauliflower, carrot and shredded pork",19.166666666666668
1771,Cabbage,50.0
1772,Coarse grain,40.0
1773,Egg,30.0
1774,Coarse grain,40.0
1775,Boiled vegetable,50.0
1776,Braised pork and tofu skin knot,0.0
1777,"Towel gourd, carrot and shredded pork",20.0
1778,Leaf lettuce,50.0
1779,Coarse grain,40.0
1780,"
Braised pork rib",0.0
1781,Zucchini and shredded pork,0.0
1782,Cabbage,50.0
1783,Coarse grain,40.0
1784,Egg,30.0
1785,Coarse grain steamed bread,40.0
1786,Boiled vegetable,50.0
1787,"Green pepper, mushroom and sliced pork",6.25
1788,Braised shredded pork and cabbage,0.0
1789,Bean sprout and green pepper,50.0
1790,Coarse grain,40.0
1791,Onion and shredded beef,50.0
1792,"Green pepper, water bamboo and shredded pork",0.0
1793,Vegetable,50.0
1794,Coarse grain,40.0
1795,Egg,30.0
1796,Coarse grain steamed bread,40.0
1797,Boiled vegetable,50.0
1798,Roast pork rib with scallion,0.0
1799,Shredded pork and wax gourd,0.0
1800,Sweet potato leaves,50.0
1801,Coarse grain,40.0
1802,Fried pig liver with green pepper,50.0
1803,"Cucumber, carrot and shredded pork",20.0
1804,Radish,50.0
1805,Coarse grain,40.0
1806,Egg,30.0
1807,Coarse grain steamed bread,40.0
1808,Boiled vegetable,50.0
1809,Braised pork rib,0.0
1810,Celery and shredded pork,0.0
1811,"
Lettuce",50.0
1812,"
Coarse grain",40.0
1813,Boiled chicken leg,50.0
1814,"Stir-fired yam, fungus and shredded pork",0.0
1815,Cabbage and carrot,40.0
1816,Coarse grain,40.0
1817,Egg,30.0
1818,Coarse grain steamed bread,40.0
1819,Boiled vegetable,50.0
1820,Pork stuffed green pepper,0.0
1821,"Cabbage, carrot and shredded pork",20.0
1822,Vegetable,50.0
1823,Coarse grain,40.0
1824,Braised pork with califlower,0.0
1825,Cucumber and shredded pork,0.0
1826,Braised radish,50.0
1827,Coarse grain,40.0
1828,Egg,30.0
1829,Coarse grain steamed bread,40.0
1830,Boiled vegetable,50.0
1831,Egg,30.0
1832,Boiled vegetable,50.0
1833,Coarse grain steamed bread,40.0
1834,Green pepper and chicken nugget,50.0
1835,"Cauliflower, fungus and shredded pork",8.75
1836,Vegetable,50.0
1837,Coarse grain,40.0
1838,Coarse grain,40.0
1839,Green pepper and shredded pork,0.0
1840,Cabbage,50.0
1841,Lettuce and shredded pork,0.0
1842,Egg,30.0
1843,Boiled vegetable,50.0
1844,Coarse grain steamed bread,40.0
1845,Chicken nugget,50.0
1846,Vegetable,50.0
1847,Cabbage and shredded pork,0.0
1848,Coarse grain,40.0
1849,Pork meatball,0.0
1850,Wax goud and shredded pork,0.0
1851,Hangzhou cabbage,50.0
1852,Coarse grain,40.0
1853,Coarse grain steamed bread,40.0
1854,Egg,30.0
1855,Boiled vegetable,50.0
1856,Coarse grain steamed bread,40.0
1857,Egg,30.0
1858,Boiled vegetable,50.0
1859,Coarse grain,40.0
1860,Braised pork with tofu skin knot,0.0
1861,Celery and smoke bean curd,50.0
1862,Vegetable,50.0
1863,Egg,30.0
1864,Boiled vegetable,50.0
1865,Coarse grain steamed bread,40.0
1866,"Yam, sweet broad bean and sliced pork",0.0
1867,Cauliflower and shredded pork,8.75
1868,Fried cabbage,50.0
1869,Coarse grain,40.0
1870,Egg,30.0
1871,Boiled vegetable,50.0
1872,Coarse grain steamed bread,40.0
1873,Fried crown daisy,50.0
1874,"Yam, corn and diced pork",0.0
1875,"Fungus, cucumber, egg and sliced pork",15.0
1876,Coarse grain,40.0
1877,Coarse grain steamed bread,40.0
1878,Egg,30.0
1879,Boiled vegetable,50.0
1880,Sliced lotus root and chicken nugget,50.0
1881,Boiled vegetable,50.0
1882,"Green pepper, shredded carrot and bean sprout",40.0
1883,Coarse grain,40.0
1884,Green pepper and shredded pork,0.0
1885,Vegetable,50.0
1886,Mushroom and sliced pork,6.25
1887,Coarse grain,40.0
1888,Coarse grain steamed bread,40.0
1889,Egg,30.0
1890,Boiled vegetable,50.0
1891,Braised pork rib,0.0
1892,Wax gourd and shredded pork,0.0
1893,Vegetable,50.0
1894,Coarse grain,40.0
1895,Egg,30.0
1896,Coarse grain steamed bread,40.0
1897,Boiled vegetable,50.0
1898,Shepherd's purse meatball,50.0
1899,Leaf lettuce,50.0
1900,"Green pepper, yam and shredded chicken",50.0
1901,Coarse grain,40.0
1902,Shredded pork in Beijing sauce,0.0
1903,Wax gourd with scallion oil,50.0
1904,Zucchini and shredded pork,0.0
1905,Coarse grain,40.0
1906,Egg,30.0
1907,Coarse grain steamed bread,40.0
1908,Boiled vegetable,50.0
1909,Fried pork with Radish,0.0
1910,Chinese cabbage,15.0
1911,"Water bamboo, carrot and shredded pork",20.0
1912,Coarse grain,40.0
1913,Boiled sliced duck,50.0
1914,Bean sprout and green pepper,50.0
1915,Sweet potato leaves and shredded pork,0.0
1916,Coarse grain,40.0
1917,Egg,30.0
1918,Coarse grain steamed bread,40.0
1919,Boiled vegetable,50.0
1920,Steamed corn meatball,50.0
1921,Vegetable,50.0
1922,"Cauliflower, fungus and shredded pork",8.75
1923,Coarse grain,40.0
1924,Green pepper and shredded beef,50.0
1925,Cabbage,50.0
1926,Shredded lettuce and shredded pork,0.0
1927,Coarse grain,40.0
1928,Egg,30.0
1929,Coarse grain steamed bread,40.0
1930,Boiled vegetable,50.0
1931,Steamed chicken nugget with mushroom,12.5
1932,Sweet potato leaves,50.0
1933,"Tomato, cabbage and shredded pork",0.0
1934,Coarse grain,40.0
1935,Meatball with lotus root,50.0
1936,"Wax gourd, carrot and shredded pork",20.0
1937,Hangzhou cabbage,50.0
1938,Coarse grain,40.0
1939,Egg,30.0
1940,Coarse grain steamed bread,40.0
1941,Boiled vegetable,50.0
1942,Braised radish and pork rib,0.0
1943,Vegetable,50.0
1944,Minced pork and eggplant,15.0
1945,Coarse grain,40.0
1946,Egg,30.0
1947,Boiled vegetable,50.0
1948,Coarse grain steamed bread,40.0
1949,Green pepper and chicken nugget,50.0
1950,"Cauliflower, fungus and shredded pork",8.75
1951,Vegetable,50.0
1952,Coarse grain,40.0
1953,Coarse grain,40.0
1954,Green pepper and shredded pork,0.0
1955,Cabbage,50.0
1956,Lettuce and shredded pork,0.0
1957,Egg,30.0
1958,Boiled vegetable,50.0
1959,Coarse grain steamed bread,40.0
1960,Chicken nugget,50.0
1961,Vegetable,50.0
1962,Cabbage and shredded pork,0.0
1963,Coarse grain,40.0
1964,Coloured sweet pepper and duck,50.0
1965,Wax gourd and shredded pork,0.0
1966,Hangzhou cabbage,50.0
1967,Coarse grain,40.0
1968,Coarse grain steamed bread,40.0
1969,Egg,30.0
1970,Boiled vegetable,50.0
1971,Egg,30.0
1972,Coarse grain steamed bread,40.0
1973,Boiled vegetable,50.0
1974,Pork stuffed egg roll,15.0
1975,Coarase grain,50.0
1976,"Yam, fungus and shredded pork",0.0
1977,Fried cabbage,50.0
1978,Coarse grain steamed bread,40.0
1979,Egg,30.0
1980,Boiled vegetable,50.0
1981,Coarase grain,50.0
1982,Boiled shrimp,50.0
1983,Fried chinese cabbage,15.0
1984,Vegetable,50.0
1985,Coarase grain,50.0
1986,"Carrot, fungus and fish fillet",40.0
1987,"Cucumber, carrot and shredded pork",20.0
1988,Sliced radish,50.0
1989,Boiled vegetable,50.0
1990,Egg,30.0
1991,Coarse grain steamed bread,40.0
1992,Carrot and pork rib,20.0
1993,Minced pork and eggplant,15.0
1994,Crown daisy,50.0
1995,Coarase grain,50.0
1996,Fried pork with carrot,20.0
1997,Chinese cabbage and shredded pork,7.5
1998,Fried vegetable,50.0
1999,Coarase grain,50.0
2000,Coarse grain steamed bread,40.0
2001,Boiled vegetable,50.0
2002,Egg,30.0
2003,Water bamboo and shredded pork,0.0
2004,Vegetable,50.0
2005,Braised pork,0.0
2006,Coarase grain,50.0
2007,Coarse grain steamed bread,40.0
2008,Boiled vegetable,50.0
2009,Egg,30.0
2010,Stir-fried snow pea and sliced pork,0.0
2011,Stir-fried green pepper and bean sprout,50.0
2012,Cauliflower and shredded pork,8.75
2013,Coarse grain,40.0
2014,Coarse grain steamed bread,40.0
2015,Boiled vegetable,50.0
2016,Egg,30.0
2017,Coarse grain,40.0
2018,Chicken nugget,50.0
2019,Vegetable,50.0
2020,"
Cauliflower, fungus and shredded pork",8.75
2021,Egg,30.0
2022,Coarse grain steamed bread,40.0
2023,Boiled vegetable,50.0
2024,Pork stuffed egg roll,15.0
2025,Coarse grain,40.0
2026,"Yam, fungus and shredded pork",0.0
2027,"
Fried cabbage",50.0
2028,Coarse grain steamed bread,40.0
2029,Egg,30.0
2030,Boiled vegetable,50.0
2031,Coarse grain,40.0
2032,Pork stuffed green pepper,0.0
2033,Fried chinese cabbage,15.0
2034,Green vegetable,50.0
2035,Boiled vegetable,50.0
2036,Egg,30.0
2037,Coarse grain steamed bread,40.0
2038,Braised pork rib with carrot,20.0
2039,Minced pork and eggplant,15.0
2040,"
Crown daisy",50.0
2041,Coarse grain,40.0
2042,Roast pork rib with scallion,0.0
2043,Chinese cabbage and shredded pork,7.5
2044,Fried vegetable,50.0
2045,Coarse grain,40.0
2046,Coarse grain steamed bread,40.0
2047,Boiled vegetable,50.0
2048,Egg,30.0
2049,Braised pork with dried bean curd,0.0
2050,Shredded pork with cabbage,0.0
2051,Fried mushroom,12.5
2052,Rice,50.0
2053,Soybean milk,50.0
2054,Fried lettuce,50.0
2055,Tofu skin,50.0
2056,Fungus and yam porridge,50.0
2057,Sweet potato,50.0
2058,Black fungus with vinegar,50.0
2059,Boiled egg,30.0
2060,Soybean milk,50.0
2061,Radish,50.0
2062,Meal replacement powder,50.0
2063,Milk,50.0
2064,Luncheon meat,50.0
2065,Preserved egg,30.0
2066,Fried spinage,50.0
2067,Fungus and yam porridge,50.0
2068,Soybean milk,50.0
2069,Sandwich,50.0
2070,Leaf lettuce,50.0
2071,Steamed fish,50.0
2072,Curry potato and chicken,50.0
2073,Coarse grain,40.0
2074,Raddish,50.0
2075,Apple,50.0
2076,Preserved egg and tofu,30.0
2077,Black fungus with vinegar,50.0
2078,Goose egg,30.0
2079,Corn porridge,50.0
2080,Soybean milk,50.0
2081,Steamed fish,50.0
2082,"Fried fungus, yam and lettuce",50.0
2083,Scrambled egg with leek and bean sprout,30.0
2084,Carrot soup,40.0
2085,Coarse grain,40.0
2086,Latte Coffee,50.0
2087,Fried celery and cauliflower,17.5
2088,Luncheon meat,50.0
2089,Radish soup,50.0
2090,Bread,50.0
2091,Egg,30.0
2092,Ham,50.0
2093,Soybean milk,50.0
2094,Vegetable with sauce,50.0
2095,Apple,50.0
2096,Meal replacement powder,50.0
2097,Milk,50.0
2098,Orange,50.0
2099,Boiled shrimp,50.0
2100,Fried Celery and cabbage,50.0
2101,Fried tofu,50.0
2102,Fungus and yam porridge,50.0
2103,Boiled egg,30.0
2104,Corn porridge,50.0
2105,Soybean milk,50.0
2106, Black fungus with vinegar,50.0
2107,Raddish,50.0
2108,Meal replacement powder,50.0
2109,Milk,50.0
2110,Boiled shrimp,50.0
2111,Fried lettuce,50.0
2112,Fried fungus and zucchini,50.0
2113,Fungus and yam porridge,50.0
2114,Boiled egg,30.0
2115,Soybean milk,50.0
2116,Luncheon meat,50.0
2117,Wax gourd,50.0
2118,Zucchini and sliced pork,0.0
2119,Instant noodles,50.0
2120,Coffee,50.0
2121,Fried mushroom and green pepper,12.5
2122,Fungus and yam porridge,50.0
2123,Boiled egg,30.0
2124,Soybean milk,50.0
2125,Luncheon meat,50.0
2126,"
Goose egg",30.0
2127,Luncheon meat,50.0
2128,Apple,50.0
2129,Boiled shrimp,50.0
2130,Curry chicken,50.0
2131,Coarse grain,40.0
2132,Boiled shrimp,50.0
2133,"Fried carrot, fungus and cabbage",40.0
2134,Fried vegetable,50.0
2135,Yam and fungus porridge,50.0
2136,Steamed vegetable bread,50.0
2137,Soybean milk,50.0
2138,Apple,50.0
2139,Chinese sauerkraut,50.0
2140,Pig feet,50.0
2141,Duck leg,50.0
2142,Apple,50.0
2143,Steamed vegetable stuffed dumpling,50.0
2144,Vegetable pancake,50.0
2145,Soybean milk,50.0
2146,Chinese cabbage and tofu soup,15.0
2147,Latte coffee,50.0
2148,Taro,50.0
2149,Apple,50.0
2150,Boiled sliced mutton,50.0
2151,Braised duck with soy sauce,50.0
2152,"Fried leek,egg and bean sprout",30.0
2153,Fried celery and cauliflower,17.5
2154,Taro,50.0
2155,Soybean milk,50.0
2156,Egg,30.0
2157,Fungus porridge,50.0
2158,Apple,50.0
2159,Red pepper fish fillets,50.0
2160,Fried onion and muttion,50.0
2161,Radish soup,50.0
2162,Taro,50.0
2163,Scrambled egg with onion,30.0
2164,Tofu,50.0
2165,Taro,50.0
2166,Radish soup,50.0
2167,Noodles with olive vegetable and pepper,50.0
2168,Soybean milk,50.0
2169,Meal replacement powder,50.0
2170,Milk,50.0
2171,Fungus porridge,50.0
2172,Fried vegetable,50.0
2173,Scrambled egg with bean sprout and leek,30.0
2174,Egg,30.0
2175,Luncheon meat,50.0
2176,Bread,50.0
2177,Soybean milk,50.0
2178,Meal replacement powder,50.0
2179,Milk,50.0
2180,Fried tofu,50.0
2181,Fried cabbage and celery,50.0
2182,Fried zucchini with ham sausage,50.0
2183,Fungus porridge,50.0
2184,Red date and fungus porridge,50.0
2185,Soybean milk,50.0
2186,Egg,30.0
2187,Bread,50.0
2188,Raddish,50.0
2189,Steamed taro,50.0
2190,Spinage,50.0
2191,Chinese cabbage and tofu,15.0
2192,Zucchini,50.0
2193,Mutton,50.0
2194,Red date and fungus porridge,50.0
2195,Red date and fungus porridge,50.0
2196,Soybean milk,50.0
2197,Egg,30.0
2198,Bread,50.0
2199,"Chinese cabbage, fungus and dried bean curd",15.0
2200,Kung Pao Chicken,50.0
2201,Fried long bean with shredded pork,0.0
2202,Coarse grain,40.0
2203,Steamed vegetable bun,50.0
2204,Boiled egg,30.0
2205,Boiled egg,30.0
2206,"Lettuce, yam and fungus",50.0
2207,Eggplant,30.0
2208,Chinese cabbage and tofu soup,15.0
2209,Coarse grain,40.0
2210,Dumpling,50.0
2211,Soybean milk,50.0
2212,Meal replacement powder,50.0
2213,Milk,50.0
2214,Fried zucchini with shrimp and egg,30.0
2215,Fried vegetable,50.0
2216,Chinese cabbage and tofu soup,15.0
2217,Boiled egg,30.0
2218,Bread,50.0
2219,Soybean milk,50.0
2220,Meal replacement powder,50.0
2221,Milk,50.0
2222,Boiled egg,30.0
2223,Braised eggplant,30.0
2224,Pork fried with garlic shoot,0.0
2225,Stir-fried sliced lamb with scallion,50.0
2226,Coarse grain,40.0
2227,Boiled dumpling,50.0
2228,Boiled egg,30.0
2229,Soybean milk,50.0
2230,Meal replacement powder,50.0
2231,Milk,50.0
2232,Boiled egg,30.0
2233,Bread,50.0
2234,Egg,30.0
2235,Soybean milk,50.0
2236,Meal replacement powder,50.0
2237,Milk,50.0
2238,Boiled egg,30.0
2239,Scrabled egg with tomato,30.0
2240,Mutton,50.0
2241,Vegetable soup,50.0
2242,Boiled egg,30.0
2243,Soybean milk,50.0
2244,Meal replacement powder,50.0
2245,Milk,50.0
2246,Vegetarian dumpling,50.0
2247,Vegetarian dumpling,50.0
2248,Boiled egg,30.0
2249,Soybean milk,50.0
2250,Meal replacement powder,50.0
2251,Milk,50.0
2252,Meal replacement powder,50.0
2253,Milk,50.0
2254,Boiled egg,30.0
2255,Milk,50.0
2256,Bread,50.0
2257,Latte coffee,50.0
2258,Whole wheat bread with cheese,50.0
2259,Boiled egg,30.0
2260,Vegetable salad,50.0
2261,Latte coffee,50.0
2262,Meal replacement powder,50.0
2263,Milk,50.0
2264,Taro,50.0
2265,Boiled egg,30.0
2266,Soybean milk,50.0
2267,Scrabled egg with tomato,30.0
2268,Fried eggplant,30.0
2269,Fried broad bean,50.0
2270,Fried green vegetable,50.0
2271,Corn noodles,50.0
2272,Boiled egg,30.0
2273,Soybean milk,50.0
2274,Boiled egg,30.0
2275,Meal replacement powder,50.0
2276,Matcha Latte,50.0
2277,Taro,50.0
2278,Egg,30.0
2279,Soybean milk,50.0
2280,Meal replacement powder,50.0
2281,Milk,50.0
2282,Bread,50.0
2283,Boiled egg,30.0
2284,Matcha latte,50.0
2285,Smoked fish,50.0
2286,Sword bean,50.0
2287,Red wine,50.0
2288,Pan fried bun,50.0
2289,Steamed bun,50.0
2290,Milk cereal,50.0
2291,Chicken leg,50.0
2292,Vegetable,50.0
2293,Bean sprout,50.0
2294,Rice,50.0
2295,Egg,30.0
2296,Coarse grain,40.0
2297,Vegetable,50.0
2298,Snakehead,50.0
2299,Croissants,50.0
2300,Milk cereal,50.0
2301,Steamed yellow croaker,50.0
2302,Vegetable,50.0
2303,Tofu,50.0
2304,Bullfrog,50.0
2305,Steamed sponge cake,50.0
2306,Rice cake,50.0
2307,Vegetable,50.0
2308,Croissants,50.0
2309,Milk cereal with notoginseng powder,50.0
2310,Rice,50.0
2311,Chicken nugget,50.0
2312,Potato,50.0
2313,Coarse grain,40.0
2314,Scrambled egg with tomato,30.0
2315,Braised fish,50.0
2316,Green vegetable,50.0
2317,Steamed bun,50.0
2318,Milk cereal with notoginseng powder,50.0
2319,Rice,50.0
2320,Fried egg,30.0
2321,Potato,50.0
2322,Corn,50.0
2323,Fried egg,30.0
2324,Potato,50.0
2325,Egg,30.0
2326,Steamed corn bun,50.0
2327,Stewed white fungus and  Chinese forest frog,50.0
2328,Dried sliced bean curd,50.0
2329,Radish,50.0
2330,Vegetable,50.0
2331,Deep-fried chicken fillet,50.0
2332,Rice,50.0
2333,Coarse grain,40.0
2334,Scrambled egg with tomato,30.0
2335,Braised fish,50.0
2336,Broad bean,50.0
2337,Shrimp,50.0
2338,Steamed bun,50.0
2339,Stewed white fungus and  Chinese forest frog,50.0
2340,Bombay duck,50.0
2341,Braised mutton,50.0
2342,Scrambled egg with leek sprout,30.0
2343,Shrimp,50.0
2344,Bullfrog,50.0
2345,Pan fried bun,50.0
2346,Coarse grain,40.0
2347,Braised mutton,50.0
2348,Broad bean,50.0
2349,Shrimp,50.0
2350,Stuffed sticky rice ball,50.0
2351,Deep-fried dough stick,50.0
2352,Coarse grain,40.0
2353,Smoked fish,50.0
2354,Braised mutton,50.0
2355,Seaweed pancake,50.0
2356,Milk sugar,50.0
2357,Mutton and buckwheat noodles,50.0
2358,Salty biscuit,50.0
2359,Steamed corn bun,50.0
2360,Milk cereal with notoginseng powder,50.0
2361,Buckwheat noodles,50.0
2362,Egg,30.0
2363,Steamed bean curd roll,50.0
2364,Hairtail,50.0
2365,Potato,50.0
2366,Shrimp,50.0
2367,Steamed gluten,50.0
2368,Spring roll,50.0
2369,Vegetable,50.0
2370,Rice wine,50.0
2371,Steamed corn bun,50.0
2372,Milk cereal with notoginseng powder,50.0
2373,Bread,50.0
2374,Chicken leg,50.0
2375,Mashed potato,50.0
2376,Shrimp,50.0
2377,Cauliflower,17.5
2378,Fish,50.0
2379,Beef,50.0
2380,Dried radish,50.0
2381,Steamed bun,50.0
2382,Milk cereal with notoginseng powder,50.0
2383,Coarse grain,40.0
2384,Vegetable,50.0
2385,Smoked fish,50.0
2386,Rice wine,50.0
2387,Taro,50.0
2388,Spring roll,50.0
2389,Chicken leg,50.0
2390,Bread,50.0
2391,Milk cereal with notoginseng powder,50.0
2392,Spring roll,50.0
2393,Steamed fish,50.0
2394,Beef,50.0
2395,Broccoli,50.0
2396,Mutton,50.0
2397,Cuttlefish,50.0
2398,Bread,50.0
2399,Milk cereal with notoginseng powder,50.0
2400,Bread,50.0
2401,Smoked fish,50.0
2402,Egg,30.0
2403,Coarse grain,40.0
2404,Scrambled egg with cauliflower,30.0
2405,Pepper and potato,50.0
2406,Buckwheat noodles,50.0
2407,Shrimp,50.0
2408,Shrimp,50.0
2409,Dumpling,50.0
2410,Pomfret,50.0
2411,Tofu skin knot,50.0
2412,Vegetable,50.0
2413,White wine,50.0
2414,Pancake,50.0
2415,Milk cereal with notoginseng powder,50.0
2416,Pan fried bun,50.0
2417,Steamed mushroom and vegetable stuffed bun,12.5
2418,Coarse grain,40.0
2419,Shrimp and beef,50.0
2420,Vegetable,50.0
2421,Duck leg,50.0
2422,Steamed corn bun,50.0
2423,Milk cereal with notoginseng powder,50.0
2424,Fried egg,30.0
2425,Beef,50.0
2426,Vegetable,50.0
2427,Rice,50.0
2428,Apple,50.0
2429,Coarse grain,40.0
2430,Shrimp,50.0
2431,Duck neck,50.0
2432,Garlic sprout,50.0
2433,Cashew nuts,50.0
2434,Watermelon seeds,50.0
2435,Deep-fried dough stick,50.0
2436,Salty soybean milk,50.0
2437,Stir-fried eel with hot oil,50.0
2438,Yellow croker,50.0
2439,Bombay duck,50.0
2440,Taro,50.0
2441,Potato and beef,50.0
2442,Steamed corn bun,50.0
2443,Milk cereal with notoginseng powder,50.0
2444,Vegetable,50.0
2445,Chicken cutlet,50.0
2446,Rice,50.0
2447,Pretzel,50.0
2448,Coffee,50.0
2449,Coarse grain,40.0
2450,Chicken nugget,50.0
2451,Broad bean,50.0
2452,Vegetable,50.0
2453,Tofu,50.0
2454,Steamed corn bun,50.0
2455,Milk cereal with notoginseng powder,50.0
2456,Coarse grain,40.0
2457,Chicken leg,50.0
2458,Smoked fish,50.0
2459,Spiced sesame pancake,50.0
2460,Sauced beef,50.0
2461,Scrambled egg with tomato,30.0
2462,Steamed bread,50.0
2463,Egg,30.0
2464,Rice,50.0
2465,Poached egg,30.0
2466,Chicken leg,50.0
2467,Coarse grain,40.0
2468,"Stir fried pork, bamboo shoot, peanut with sauce",0.0
2469,Scrambled egg with asparagus,30.0
2470,Pomfret,50.0
2471,Beef,50.0
2472,Steamed bread,50.0
2473,Coarse grain,40.0
2474,Braised pomfret,50.0
2475,Beef,50.0
2476,Pretzel,50.0
2477,Coarse grain,40.0
2478,Beef,50.0
2479,"Stir fried pork, bamboo shoot, peanut with sauce",0.0
2480,Boiled egg,30.0
2481,Seasame sweet dumpling,50.0
2482,Duck leg,50.0
2483,Pancake,50.0
2484,Vegetable,50.0
2485,Egg,30.0
2486,Rice wine,50.0
2487,Smoked fish,50.0
2488,Coarse grain,40.0
2489,Beef,50.0
2490,Scrambled egg with cauliflower,30.0
2491,"Stir fried pork, bamboo shoot, peanut with sauce",0.0
2492,Steamed bread,50.0
2493,Milk cereal with notoginseng powder,50.0
2494,"Beef, potato and rice",50.0
2495,Egg and seaweed,30.0
2496,Buckwheat noodles,50.0
2497,Scrambled egg with cauliflower,30.0
2498,Braised beef,50.0
2499,Dried bamboo shoot,50.0
2500,Steamed bread,50.0
2501,Milk cereal with notoginseng powder,50.0
2502,Seasame walnut powder,50.0
2503,Noodles,50.0
2504,Poached egg,30.0
2505,Duck meat,50.0
2506,Eel,50.0
2507,Vegetable,50.0
2508,Shrimp scrambled egg,30.0
2509,Potato,50.0
2510,Chicken feet,50.0
2511,Chicken,50.0
2512,Steamed bread,50.0
2513,Milk cereal with notoginseng powder,50.0
2514,Buckwheat noodles,50.0
2515,Egg,30.0
2516,Braised bamboo shoot,50.0
2517,Beef,50.0
2518,Coarse grain,40.0
2519,Braised mutton,50.0
2520,Egg fried water bamboo,30.0
2521,Fried celery with dried bean curd,50.0
2522,Steamed vegetable bread,50.0
2523,Milk cereal with notoginseng powder,50.0
2524,Rice,50.0
2525,Boiled egg,30.0
2526,Steamed gluten and fungus,50.0
2527,Fried chicken nugget with potato,50.0
2528,Egg,30.0
2529,Bread,50.0
2530,Coffee,50.0
2531,Coarse grain,40.0
2532,Smoked fish,50.0
2533,Bullfrog,50.0
2534,Vegetable and bean curd,50.0
2535,Bread,50.0
2536,Egg,30.0
2537,Fried rice with egg,30.0
2538,Coarse grain,40.0
2539,Bullfrog,50.0
2540,Potato,50.0
2541,Vegetable,50.0
2542,Kung Pao Chicken,50.0
2543,Fried fungus with fish fillet,50.0
2544,Steamed bread,50.0
2545,Milk cereal with notoginseng powder,50.0
2546,Coarse grain,40.0
2547,Potato,50.0
2548,Fish fillet,50.0
2549,Steamed bean curd roll,50.0
2550,Scrambled egg with tomato,30.0
2551,Shrimp,50.0
2552,Vegetable,50.0
2553,Coarse grain,40.0
2554,Potato,50.0
2555,Vegetable,50.0
2556,Steamed bean curd roll,50.0
2557,Shrimp,50.0
2558,Bread,50.0
2559,Mushroom and tofu soup,12.5
2560,Shrimps,50.0
2561,Roasted halibut,50.0
2562,Cabbage,50.0
2563,"Winter bamboo shoot, water-chestnut and sausage",50.0
2564,Milk,50.0
2565,Oats,50.0
2566,Sesame and nut,50.0
2567,Egg,30.0
2568,Bread,50.0
2569,Taro,50.0
2570,Noodles,50.0
2571,"Lettuce, shredded asparagus and fried vegetable soup",50.0
2572,Tofu skin knot,50.0
2573,Pork rib,0.0
2574,Pork meatball and vermicelli soup,0.0
2575,Shrimp,50.0
2576,Vegetable,50.0
2577,Pig feet,50.0
2578,Kiwi fruit,50.0
2579,Beef soup,50.0
2580,Pan fried dumpling,50.0
2581,Noodles soup,50.0
2582,Crab meat,50.0
2583,Yogurt,50.0
2584,Nut,50.0
2585,Blueberry,50.0
2586,"Beef, oily bean curd and vermicelli soup",50.0
2587,Fried celery with dried bean curd,50.0
2588,Fried bamboo shoots,50.0
2589,Roasted flatfish,50.0
2590,Shrimp,50.0
2591,Milk and coffee,50.0
2592,Egg,30.0
2593,Bread,50.0
2594,Curry rice,50.0
2595,Shrimp,50.0
2596,Orange,50.0
2597,Celery and sliced pork,0.0
2598,Fried bamboo shoots,50.0
2599,Vegetable,50.0
2600,Shrimp,50.0
2601,"Beef, Oily bean curd and vermicelli soup",50.0
2602,Milk,50.0
2603,Egg,30.0
2604,Taro,50.0
2605,Rye bread,50.0
2606,Deep-fried spare ribs with spicy salt,50.0
2607,Chinese cabbage,15.0
2608,Potato and sword bean,50.0
2609,Braised tofu with green bean,50.0
2610,Rice,50.0
2611,Sugar free yogurt,50.0
2612,Kiwi,50.0
2613,Bamboo shoot soup with fresh and pickled streaky pork,0.0
2614,Fried shrimp,50.0
2615,Celery and smoked bean curd,50.0
2616,Pea,50.0
2617,Milk,50.0
2618,Egg,30.0
2619,Taro,50.0
2620,Toast,50.0
2621,Cabbage,50.0
2622,Cauliflower,17.5
2623,Braised big pork meatball,0.0
2624,Scrambled egg with tomato,30.0
2625,Rice,50.0
2626,Celery and smoked bean curd,50.0
2627,Taro,50.0
2628,Pea,50.0
2629,Dry-fried hairtail,50.0
2630,Black fungus and bamboo shoot soup,50.0
2631,Milk,50.0
2632,Egg,30.0
2633,Taro,50.0
2634,Toast,50.0
2635,Sesame and walnut,50.0
2636,Sauerkraut fish,50.0
2637,Bean,50.0
2638,Cabbage,50.0
2639,Potato,50.0
2640,Tofu soup,50.0
2641,Spinach,50.0
2642,Taro,50.0
2643,Fried egg with leek,30.0
2644,Hairtail,50.0
2645,Chinese cabbage and pork meatball soup,7.5
2646,Milk,50.0
